"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","gender","S","DD","D_pred"
"279",2,0,0,0,0,0,0,0,"M",2,"0",3.03412044198908
"280",0,0,0,0,0,0,0,0.5,"M",0,"0",0
"281",1,0,0,0,0,0,0,0.5,"M",1,"0",1.8698428634215
"282",2,0.5,0,0,0,0,1,1.5,"M",3.5,"1",7.39724844826781
"283",2,0.5,0,0,0,0,0,1.5,"M",2.5,"1",4.04338016402216
"284",3,3,3,2,2,0,0,2,"M",13,"1",25.9639627068937
"285",3,0,0,0,0,0,0,0,"M",3,"0",4.54134925887636
"286",3,1,0,0,0,0,0,1,"M",4,"1",6.69668062762841
"287",2,0,0,0,0,0,0,2,"M",2,"1",4.90116905122589
"288",2,0,0,0,0,0,0,0,"M",2,"0",3.739685726843
"289",2,0,0,0,0,0,1,2,"M",3,"1",6.17195618546134
"290",2,1,0,1,0,0,0,0,"M",4,"0",7.12380156037769
"291",2,1,1,1,0,1,1,1,"M",7,"1",13.655498736019
"292",0,1,0,0,0,1,0,0,"M",2,"0",3.56745747656398
"293",1,0,0,1,0,0,0,0,"M",2,"0",3.96764474660749
"294",1,2,3,1.5,0,3,3,0,"W",13.5,"0",25.4217873169557
"295",2,3,0,0,0,1,2,0,"W",8,"0",12.9131082084301
"296",3,3,3,1.5,2,0,1,0,"W",13.5,"0",26.1493169076614
"297",1,2,3,3,0,1.5,2,1,"W",12.5,"1",22.9850386109203
"298",0,0,0,3,2,3,1,0,"M",9,"0",14.7763968024468
"299",0,0,0,0,0,1,2,1.5,"W",3,"1",6.91439716163417
"300",0,1,3,1.5,3,2,1.5,1.5,"M",12,"1",22.3156333706091
"301",3,2,3,1.5,3,2,1.5,0,"W",16,"0",29.7087949009081
"302",2,3,1.5,3,0,0,1.5,3,"M",11,"1",19.8801447172522
"303",1.5,1,1.5,0,0,1.5,1.5,2,"M",7,"1",13.2349415991225
"304",0,0,0,0,0,0,0,1,"M",0,"1",0
"305",0,1,0,0,0,0,1.5,0,"M",2.5,"0",4.28881844190009
"306",3,0,0,0,0,1,0,1,"M",4,"1",6.55457736928464
"307",3,1,0,0,0,0,1,1,"M",5,"1",8.56652349104991
"308",2,1,0,0,0,0,0,2,"M",3,"1",6.41495213751801
"309",3,0,0,0,0,0,3,2,"M",6,"1",10.2722166887316
"310",3,3,0,0,0,0,0,1,"M",6,"1",13.3914379080637
"311",0,0,0,0,0,0,0,0,"M",0,"0",0
"312",3,3,3,3,3,3,3,3,"M",21,"1",39.1926844125896
"313",0,0,0,0,0,0,0,0,"W",0,"0",0
"314",0,1,0,1,2,2,0,1,"M",6,"1",10.7321093951534
"315",2,1,3,2,1,1,3,0,"M",13,"0",24.5195704796923
"316",1,1,1,0,2,1,0,1,"M",6,"1",11.9473551865788
"317",3,1,3,2,0,3,0,3,"M",12,"1",20.6912575110092
"318",3,3,2,3,1,2,3,1,"M",17,"1",31.1985834451656
"319",3,1,2,1,2,1,0,1,"M",10,"1",19.8429817375936
"320",3,2,3,0,1,2,3,2,"M",14,"1",26.7830463437524
"321",3,0,0,0,0,0,0,1,"M",3,"1",4.55118066298362
